instance,n,fcfs_gap_pct,sjf_gap_pct,hrrn_gap_pct
359,10,11.9617,0.0000,2.8708
360,9,18.3761,1.2821,2.9915
361,5,11.2903,11.2903,11.2903
362,6,2.8986,2.8986,2.8986
363,4,30.7692,9.6154,30.7692
364,4,0.0000,0.0000,0.0000
365,10,16.1702,0.0000,4.6809
366,8,11.9171,0.0000,6.2176
367,6,28.7879,0.0000,15.1515
368,8,30.1775,0.0000,17.1598
369,7,5.0847,0.0000,4.2373
370,9,50.4000,4.8000,24.8000
371,8,7.6471,0.0000,1.7647
372,9,15.7692,8.0769,10.0000
373,10,19.5349,1.3953,11.1628
374,6,14.1935,0.0000,9.0323
375,9,30.7317,0.0000,10.2439
376,7,5.8824,0.0000,5.8824
377,10,19.4805,0.0000,2.1645
378,4,7.4074,0.0000,7.4074
379,5,16.3636,0.0000,16.3636
380,4,22.7273,13.6364,13.6364
381,5,27.7778,4.1667,8.3333
382,7,12.5000,7.1429,9.8214
383,9,28.5714,0.0000,23.8095
384,10,40.7767,0.4854,0.9709
385,4,22.4138,18.9655,18.9655
386,5,9.8361,0.0000,0.0000
387,8,28.8288,8.1081,10.8108
388,9,43.0851,0.0000,22.3404
389,4,0.0000,0.0000,0.0000
390,4,0.0000,0.0000,0.0000
391,10,63.4021,1.0309,11.8557
392,5,36.5079,20.6349,36.5079
393,7,13.8462,0.0000,3.0769
394,5,0.0000,0.0000,0.0000
395,9,35.6725,0.0000,19.2982
396,10,37.2263,0.0000,7.2993
397,8,28.4211,0.0000,11.0526
398,10,51.5957,0.5319,26.5957
399,5,1.3699,0.0000,1.3699
400,10,13.3779,0.0000,2.6756
401,7,26.8657,8.9552,8.9552
402,10,23.5294,2.2059,8.0882
403,7,19.1667,0.0000,5.0000
404,6,16.2791,1.1628,9.3023
405,7,42.8571,0.0000,21.8487
406,8,34.5946,0.0000,18.3784
407,8,28.8793,2.1552,9.0517
408,9,12.3711,0.0000,8.2474
409,5,4.1667,4.1667,4.1667
410,4,7.3171,0.0000,0.0000
411,9,3.1949,0.0000,0.0000
412,4,51.2821,0.0000,51.2821
413,8,27.5862,1.9704,7.8818
414,5,36.3636,0.0000,0.0000
415,8,20.0000,0.0000,3.5897
416,5,31.4286,10.0000,10.0000
417,10,36.4807,0.0000,11.5880
418,7,24.7253,0.0000,3.2967
419,4,19.4444,1.3889,1.3889
420,7,46.0993,2.8369,22.6950
